issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39342,Done,Duplicate,,2025-10-23T11:45:00+00:00,2025-10-23T12:04:00+00:00,19.00,1.00,6.25,0.00,298,6,7,4,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:bd41b8f9-6ecd-421f-9750-4ceb6ff0db44,true,true,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39341,Done,Done,Q-Park Tower Bridge,2025-10-23T11:41:00+00:00,2025-10-23T12:03:00+00:00,22.00,1.00,4.80,0.50,296,7,4,6,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:bd255dda-fde1-4ff2-b049-da9b1723dde0,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39340,Done,Duplicate,,2025-10-23T11:39:00+00:00,2025-10-23T12:48:00+00:00,69.00,69.00,69.00,0.00,289,3,1,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:bd255dda-fde1-4ff2-b049-da9b1723dde0,false,false,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39339,Done,Done,NCP Finsbury,2025-10-23T11:26:00+00:00,2025-10-23T12:02:00+00:00,36.00,1.00,6.71,0.50,295,8,2,4,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:9b19e54a-ced3-4d9f-aa11-a2b8a38e7ec8,true,true,false,0,false,0,,,,,Info about monthly subscription,,,,,gpt-4o-mini,,,
CC-39338,Done,Done,NCP Vintry,2025-10-23T11:14:00+00:00,2025-10-23T12:48:00+00:00,94.00,1.00,6.29,0.12,319,18,16,20,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:b760c687-c9cc-4671-a9ec-e33d26d11940,true,true,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39337,Done,Done,Business Design Centre,2025-10-23T10:37:00+00:00,2025-10-23T12:14:00+00:00,97.00,1.00,3.06,4.07,332,17,30,29,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:8e44db6d-0a43-4b0a-809c-83db4ea60bc6,true,true,false,0,true,2,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39336,Done,Done,Q-Park Leicester Square,2025-10-23T10:24:00+00:00,2025-10-23T11:05:00+00:00,41.00,1.00,7.00,0.00,296,8,3,4,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:349954e8-9b17-49f5-8a17-ad278c45390a,true,true,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39335,Done,Done,No active pass / Other,2025-10-23T10:09:00+00:00,2025-10-23T11:05:00+00:00,56.00,9.00,32.50,0.00,290,4,1,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:13582372-b5e5-49ae-89e5-7d873d92143a,false,true,false,0,false,0,,,,,Issue unknown,,,,,gpt-4o-mini,,,
CC-39334,Done,Done,,2025-10-23T09:52:00+00:00,2025-10-23T10:40:00+00:00,48.00,1.00,9.57,0.62,303,10,8,8,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5;712020:ffd0ea69-61d6-4cfe-91bb-cb09245bb5f4,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:f939e371-29e1-4f69-bfd2-a7cba9c61e06,true,true,false,0,false,0,,,,,E-bike damage issue,,,,,gpt-4o-mini,,,
CC-39333,Done,Done,Q-Park Leicester Square,2025-10-23T09:35:00+00:00,2025-10-23T10:00:00+00:00,25.00,1.00,2.62,1.17,300,9,6,10,712020:ffd0ea69-61d6-4cfe-91bb-cb09245bb5f4,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:397c0747-8262-4c88-ab6c-ecfb380f30e3,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
